Alias,ID,Heading,Expenditure,Language,PoliticalCategory,Year,Amount,EpNote
1 2 0 0,NIV-47483218314141915_47483218314322857@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EFA,Remuneration and allowances,exp,en,5.2.121,2014,589 687 59
1 2 0 0,NIV-47483218314141915_47483218314322857@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EFA,Remuneration and allowances,exp,en,5.2.121,2013,577 124 90
1 2 0 0,NIV-47483218314141915_47483218314322857@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EFA,Remuneration and allowances,exp,en,5.2.121,2013,577 124 909,AM Rapp / Below D
1 2 0 2,NIV-47483218314141915_47483218314322858@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F4A,Paid overtime,exp,en,5.2.121,2014,436 74
1 2 0 2,NIV-47483218314141915_47483218314322858@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F4A,Paid overtime,exp,en,5.2.121,2013,400 00
1 2 0 2,NIV-47483218314141915_47483218314322858@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F4A,Paid overtime,exp,en,5.2.121,2012,174 999.9
1 2 0 4,NIV-47483218314141915_47483218314322859@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F6D,Entitlements on entering the service. transfer and leaving the service,exp,en,5.2.123,2014,4 400 00
1 2 0 4,NIV-47483218314141915_47483218314322859@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F6D,Entitlements on entering the service. transfer and leaving the service,exp,en,5.2.123,2013,4 460 00
1 2 0 4,NIV-47483218314141915_47483218314322859@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F6D,Entitlements on entering the service. transfer and leaving the service,exp,en,5.2.123,2012,3 835 000.0
1 2 2 0,NIV-47483218314141915_47483218314322861@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FB5,Allowances for staff retired in the interests of the service,exp,en,5.2.121,2014,396 00
1 2 2 0,NIV-47483218314141915_47483218314322861@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FB5,Allowances for staff retired in the interests of the service,exp,en,5.2.121,2013,391 40
1 2 2 0,NIV-47483218314141915_47483218314322861@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FB5,Allowances for staff retired in the interests of the service,exp,en,5.2.121,2012,363 779.8
1 2 2 2,NIV-47483218314141915_47483218314322862@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FE6,Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff,exp,en,5.2.121,2014,182 00
1 2 2 2,NIV-47483218314141915_47483218314322862@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FE6,Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff,exp,en,5.2.121,2013,552 00
1 2 2 2,NIV-47483218314141915_47483218314322862@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FE6,Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff,exp,en,5.2.121,2012,951 911.8
